[21:19:17] [MainThread/INFO]	: |Created save| slot number: 1, player name: "kk"
[21:41:26] [Main/INFO]	: |Beginning new instance| 
[21:41:31] [Main/INFO]	: |Created save| slot number: 1, player name: "k"
[21:41:54] [Main/INFO]	: |Beginning new instance| 
[21:41:54] [Main/ERROR]	: |Parse error| Slot number: 1
[21:42:45] [Main/INFO]	: |Beginning new instance| 
[21:42:45] [Main/ERROR]	: |Instance crahed| (<class 'TypeError'>, TypeError('string indices must be integers'), <traceback object at 0x000000B57FEEDA00>)
[21:43:23] [Main/INFO]	: |Beginning new instance| 
[21:43:23] [Main/ERROR]	: |Instance crahed| (<class 'TypeError'>, TypeError('string indices must be integers'), <traceback object at 0x00000081B44FD700>)
[21:44:04] [Main/INFO]	: |Beginning new instance| 
[21:45:40] [Main/INFO]	: |Beginning new instance| 
[21:46:01] [Main/INFO]	: |Beginning new instance| 
[21:49:28] [Main/INFO]	: |Beginning new instance| 
[21:49:40] [Main/INFO]	: |Created save| slot number: 2, player name: "hjhj"
[21:50:42] [Main/INFO]	: |Beginning new instance| 
[21:50:49] [Main/INFO]	: |Created save| slot number: 3, player name: "hj"
[21:52:04] [Main/INFO]	: |Beginning new instance| 
[21:52:08] [Main/ERROR]	: |Instance crahed| (<class 'NameError'>, NameError("name 'SPLIT_TEXT' is not defined"), <traceback object at 0x000000A43B6D4540>)
[21:56:54] [Main/INFO]	: |Beginning new instance| 
[21:57:00] [Main/ERROR]	: |Instance crahed| (<class 'TypeError'>, TypeError('new_save() takes from 0 to 1 positional arguments but 2 were given'), <traceback object at 0x00000005D8E642C0>)
[21:57:16] [Main/INFO]	: |Beginning new instance| 
[21:57:22] [Main/INFO]	: |Created save| slot number: 4, player name: "jk"
[21:57:45] [Main/INFO]	: |Instance ended succesfuly| 
[22:18:49] [Main/INFO]	: |Beginning new instance| 
[22:18:59] [Main/INFO]	: |Deleted save| slot number: 3, hero name: "hj", last saved: 2022-05-06 21:50:49
[22:19:03] [Main/INFO]	: |Instance ended succesfuly| 
[22:46:34] [Main/INFO]	: |Beginning new instance| 
[22:46:38] [Main/INFO]	: |Loaded save| slot number: 2, hero name: "hjhj", last saved: 2022-05-06 21:49:40
[22:46:38] [Main/ERROR]	: |Instance crahed| (<class 'KeyError'>, KeyError(2), <traceback object at 0x000000DA5D554B80>)
[22:51:41] [Main/INFO]	: |Beginning new instance| 
[22:51:46] [Main/INFO]	: |Loaded save| slot number: 2, hero name: "hjhj", last saved: 2022-05-06 21:49:40
[22:52:02] [Main/INFO]	: |Instance ended succesfuly| 
[22:52:08] [Main/INFO]	: |Beginning new instance| 
[22:52:11] [Main/INFO]	: |Loaded save| slot number: 2, hero name: "hjhj", last saved: 2022-05-06 21:49:40
[22:52:24] [Main/INFO]	: |Beginning new instance| 
[22:52:26] [Main/INFO]	: |Loaded save| slot number: 2, hero name: "hjhj", last saved: 2022-05-06 21:49:40
[22:52:43] [Main/INFO]	: |Beginning new instance| 
[22:52:46] [Main/INFO]	: |Loaded save| slot number: 2, hero name: "hjhj", last saved: 2022-05-06 21:49:40
