[15:40:25] [MainThread/INFO]	: |Recreated settings| 

[15:40:58] [Main/INFO]	: |Preloading global variables| 
[15:40:58] [Main/INFO]	: |Recreated settings| 
[15:40:58] [Main/INFO]	: |Beginning new instance| 

[15:46:44] [Main/INFO]	: |Preloading global variables| 
[15:46:44] [Main/INFO]	: |Recreated settings| 
[15:46:44] [Main/INFO]	: |Beginning new instance| 

[15:48:27] [Main/INFO]	: |Preloading global variables| 
[15:48:27] [Main/INFO]	: |Recreated settings| 
[15:48:27] [Main/INFO]	: |Beginning new instance| 
[15:48:56] [Main/INFO]	: |Instance ended succesfuly| 

[15:51:36] [Main/INFO]	: |Preloading global variables| 
[15:51:36] [Main/INFO]	: |Recreated settings| 
[15:51:36] [Main/INFO]	: |Beginning new instance| 
[15:51:41] [Main/INFO]	: |Created save| slot number: 1, player name: "j"
[15:51:41] [Main/INFO]	: |Preparing game data| 
[15:51:41] [Main/INFO]	: |Game loop started| 
[15:51:44] [Quit manager/INFO]	: |Beggining manual save| slot number: 1
[15:51:46] [Auto saver/INFO]	: |Beggining auto save| slot number: 1
[15:51:51] [Auto saver/INFO]	: |Beggining auto save| slot number: 1
[15:51:56] [Auto saver/INFO]	: |Beggining auto save| slot number: 1
[15:52:01] [Auto saver/INFO]	: |Beggining auto save| slot number: 1
